gutenberg id,title,authors
10364,Yeast: A Problem,"frozenset({'Kingsley, Charles'})"
10366,Freedom's Battle,"frozenset({'Gandhi, Mahatma'})"
10367,Poems,"frozenset({'Carr, John, Sir'})"
10368,The Vizier of the Two-Horned Alexander,"frozenset({'Stockton, Frank Richard'})"
10369,"Memoir and Diary of John Yeardley, Minister of the Gospel","frozenset({'Yeardley, John'})"
1036,Joe Wilson and His Mates,"frozenset({'Lawson, Henry'})"
10370,Sustained honor,"frozenset({'Musick, John R. (John Roy)'})"
10371,The Cinema Murder,"frozenset({'Oppenheim, E. Phillips (Edward Phillips)'})"
10372,Bunch Grass,"frozenset({'Vachell, Horace Annesley'})"
10373,The Middle Temple Murder,"frozenset({'Fletcher, J. S. (Joseph Smith)'})"
10374,The Ramblin' Kid,"frozenset({'Bowman, Earl Wayland'})"
10375,England's Antiphon,"frozenset({'MacDonald, George'})"
10377,The Evil Guest,"frozenset({'Le Fanu, Joseph Sheridan'})"
10378,Autobiography,"frozenset({'Mill, John Stuart'})"
10379,At Love's Cost,"frozenset({'Garvice, Charles'})"
1037,The Life of John Bunyan,"frozenset({'Venables, Edmund'})"
10380,Bible Stories and Religious Classics,"frozenset({'Wells, Philip P. (Philip Patterson)'})"
10381,The History of a Crime,"frozenset({'Hugo, Victor'})"
10382,Memoir of William Watts McNair,"frozenset({'Howard, J. E.'})"
10383,"The Maternal Management of Children, in Health and Disease.","frozenset({'Bull, Thomas'})"
10386,Thoughts On The Necessity Of Improving The Condition Of The Slaves,"frozenset({'Clarkson, Thomas'})"
10387,"The Real America in Romance, Volume 6; A Century Too Soon (A Story","frozenset({'Musick, John R. (John Roy)'})"
10388,"Old English Plays, Vol. I",frozenset()
10388,"_Const_. If their testimonie will not satisfie, here my At this",frozenset()
10389,"Northern Trails, Book I.","frozenset({'Long, William J. (William Joseph)'})"
10390,The Edinburgh Lectures on Mental Science,"frozenset({'Troward, T. (Thomas)'})"
10391,The Wolf's Long Howl,"frozenset({'Waterloo, Stanley'})"
10392,The Reminiscences Of Sir Henry Hawkins (Baron Brampton),"frozenset({'Brampton, Henry Hawkins, Baron'})"
10393,Making the House a Home,"frozenset({'Guest, Edgar A. (Edgar Albert)'})"
10394,Stolen Treasure,"frozenset({'Pyle, Howard'})"
10395,Joy & Power,"frozenset({'Van Dyke, Henry'})"
10396,Andy the Acrobat,"frozenset({'Harkness, Peter T.'})"
10397,Affairs of State,"frozenset({'Stevenson, Burton Egbert'})"
10398,The American Child,"frozenset({'McCracken, Elizabeth'})"
10399,The Story of Louis Riel: The Rebel Chief,"frozenset({'Collins, J. E. (Joseph Edmund)'})"
1039,Missionary Travels and Researches in South Africa,"frozenset({'Livingstone, David'})"
103,Around the World in 80 Days,"frozenset({'Verne, Jules'})"
10401,Personal Memoir Of Daniel Drayton,"frozenset({'Drayton, Daniel'})"
10402,A Man and His Money,"frozenset({'Isham, Frederic Stewart'})"
10403,Twixt France and Spain,"frozenset({'Bilbrough, E. Ernest'})"
10404,Man Size,"frozenset({'Raine, William MacLeod'})"
10409,The Crisis of the Naval War,"frozenset({'Jellicoe, John Rushworth'})"
1040,The Three Taverns,"frozenset({'Robinson, Edwin Arlington'})"
10410,The Powers and Maxine,"frozenset({'Williamson, A. M. (Alice Muriel)', 'Williamson, C. N. (Charles Norris)'})"
10417,"Love, Life & Work","frozenset({'Hubbard, Elbert'})"
10418,The Money Moon,"frozenset({'Farnol, Jeffery'})"
10419,The Forest Monster of Oz,"frozenset({'Dulabone, Chris', 'Evans, Robert J.'})"
1041,Shakespeare's Sonnets,"frozenset({'Shakespeare, William'})"
10420,The Principles of Success in Literature,"frozenset({'Lewes, George Henry'})"
10421,The Life of Lord Byron,"frozenset({'Galt, John'})"
10422,Caesar Dies,"frozenset({'Mundy, Talbot'})"
10427,Scientific Essays and Lectures,"frozenset({'Kingsley, Charles'})"
10429,Miss Lulu Bett,"frozenset({'Gale, Zona'})"
10430,Trips to the Moon,"frozenset({'Lucian, of Samosata'})"
10431,Thirty Years a Slave,"frozenset({'Hughes, Louis'})"
10432,Aunt Jane's Nieces Out West ,"frozenset({'Baum, L. Frank (Lyman Frank)'})"
10433,A Flock of Girls and Boys,"frozenset({'Perry, Nora'})"
10434,Wyandotte,"frozenset({'Cooper, James Fenimore'})"
10435,"The Atlantic Monthly, Volume 2, Issue 12, October, 1858",frozenset({'Various'})
10436,Erick and Sally,"frozenset({'Spyri, Johanna'})"
10437,Pulpit and Press (6th Edition),"frozenset({'Eddy, Mary Baker'})"
10438,Up the Hill and Over,"frozenset({'Mackay, Isabel Ecclestone'})"
10439,From Yauco to Las Marias,"frozenset({'Herrman, Karl Stephen'})"
